,pc0_value,pc1_value,pc2_value,pc3_value,pc4_value,0_knn_vote,1_knn_vote,pc_0_knn_vote,pc_1_knn_vote
0,35.9544615827,-18.3605739245,-9.06185177931,-16.5456971086,1.8555742663,0.75,0.25,0.75,0.25
1,-40.4576388036,-17.2305740123,-4.31786256699,18.4179812796,-6.90494685119,0.75,0.25,0.75,0.25
2,-8.89257671225,-23.6142636004,-11.3226824492,-4.42139526708,-3.96237976347,0.75,0.25,0.75,0.25
3,-10.2312214204,-21.4679642731,-11.6241705323,-4.19995399532,-3.18652881302,0.75,0.25,0.75,0.25
4,72.6675275516,7.76539097849,3.9060599708,2.22583170927,-4.76577270877,0.75,0.25,0.75,0.25
5,28.0670317956,-8.47390950711,-2.90860250844,8.59407131275,-4.26057371789,0.5,0.5,0.5,0.5
6,0.377587352444,-5.10252452819,4.9524006517,6.73048511371,10.1219958748,0.75,0.25,0.75,0.25
7,7.63881618879,68.6775536361,-9.5014506338,0.33925210594,-5.17457366595,0.25,0.75,0.25,0.75
8,-69.5506147582,8.54950632309,19.5859066989,-11.3650675464,-10.2664636566,0.5,0.5,0.5,0.5
9,25.0952171052,-5.24049068758,30.2214462021,1.0392520841,6.89052446826,0.5,0.5,0.5,0.5
10,-40.668589882,14.4978495955,-9.92919305353,-0.814759687949,19.6531445675,0.25,0.75,0.25,0.75
